MSZoning,LotFrontage,LotArea,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Foundation,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Fireplaces,GarageType,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Condition1,SalePrice
RL,,9900,NoRidge,1Fam,1.5Fin,10,7,1975,1976,VinylSd,Slab,676.0,Gd,Y,1457,0,1780,1,1,3,1,Ex,0,CarPort,2,382.0,166,85,8,0,0,1,2018,COD,Abnorml,Norm,459736
RL,107.24984344104746,8250,Veenker,1Fam,1Story,8,6,2003,2003,MetalSd,Slab,910.0,Ex,Y,904,1350,1085,2,1,2,1,Ex,0,Attchd,1,256.0,145,90,48,0,0,2,2021,WD,Normal,Norm,539525
RL,,6455,Sawyer,1Fam,1Story,8,9,1934,2006,Wd Sdng,CBlock,635.0,Ex,Y,1061,0,1495,2,0,2,1,Gd,1,Attchd,1,222.0,198,19,27,450,0,3,2022,WD,Normal,Norm,622263
FV,,18068,Mitchel,1Fam,SLvl,8,7,1901,1993,VinylSd,PConc,1100.0,Fa,Y,1048,1600,1415,3,1,5,1,TA,0,CarPort,2,469.0,9,0,8,0,0,11,2016,WD,Normal,Norm,770935
RL,83.44309956401415,12365,Timber,1Fam,SFoyer,8,2,1917,1969,BrkFace,PConc,1015.0,Ex,Y,712,800,1013,2,1,3,1,TA,0,Attchd,1,225.0,42,45,22,250,0,3,2016,WD,Normal,Norm,506945
RM,40.78046785289719,12789,Timber,1Fam,1Story,6,7,1965,1980,HdBoard,PConc,1144.0,Ex,Y,1020,1550,874,1,1,4,1,Gd,0,Attchd,1,307.0,31,14,32,500,0,2,2013,WD,Normal,Norm,471318
RL,79.20449346412578,14033,ClearCr,1Fam,1Story,2,7,2019,2019,VinylSd,PConc,1152.0,TA,N,1500,450,1774,2,1,1,1,Ex,0,Detchd,1,202.0,22,14,9,0,0,12,2016,Con,Normal,Norm,578745
RH,49.66480850322945,13584,OldTown,TwnhsE,2Story,9,9,1977,1989,VinylSd,CBlock,1180.0,Fa,Y,1171,0,1359,2,1,4,2,Gd,0,Attchd,3,852.0,11,124,15,250,1000,6,2018,WD,Normal,Feedr,650503
RL,58.202261186044005,8847,ClearCr,1Fam,1Story,5,1,2000,2000,Wd Sdng,CBlock,887.0,TA,Y,696,1700,1091,1,0,3,1,TA,0,Attchd,2,450.0,72,2,31,650,0,6,2017,New,Family,Norm,551087
RL,,11590,Crawfor,2fmCon,2Story,6,2,1958,2013,Plywood,CBlock,1636.0,Ex,Y,633,1350,1461,3,0,4,1,TA,2,BuiltIn,3,863.0,16,35,22,0,0,4,2016,WD,Normal,Norm,584407
RH,64.9347678068238,9423,ClearCr,Duplex,SFoyer,4,8,2018,2018,HdBoard,PConc,1070.0,TA,Y,1599,1600,1951,2,2,3,1,TA,0,BuiltIn,3,513.0,60,34,5,0,0,12,2013,WD,Normal,Feedr,653713
RM,55.196517914115454,12253,Mitchel,TwnhsE,1Story,2,9,2016,2016,CemntBd,BrkTil,441.0,TA,Y,1072,600,587,1,0,3,1,Ex,1,None,3,682.0,32,12,5,0,0,5,2009,WD,Normal,Norm,580093
RL,93.05165157802784,11866,CollgCr,TwnhsE,2Story,10,3,1927,2021,HdBoard,PConc,699.0,TA,Y,905,750,901,1,1,2,1,Gd,1,Attchd,2,408.0,6,14,21,700,0,11,2006,WD,Partial,PosA,541071
RH,51.04645994315246,8969,Timber,Duplex,2Story,8,9,2006,2020,HdBoard,PConc,477.0,Ex,Y,1017,1050,1130,3,1,2,1,TA,1,Detchd,1,225.0,39,1,11,0,0,12,2013,WD,Normal,Norm,453816
RL,61.05161711620646,5182,NridgHt,1Fam,1Story,7,1,1902,2023,Plywood,PConc,1005.0,Gd,Y,656,800,2084,3,1,4,1,TA,1,BuiltIn,2,537.0,25,11,26,0,0,6,2013,WD,Normal,Norm,680775
RL,94.98104335972334,11084,BrkSide,1Fam,2Story,5,7,1973,1977,CemntBd,PConc,963.0,Gd,Y,1526,450,1613,2,1,2,1,Fa,0,Attchd,1,235.0,198,6,20,0,0,9,2016,New,Partial,Norm,690913
RL,70.85535130615919,9682,Mitchel,TwnhsE,2Story,9,4,1954,2018,CemntBd,CBlock,859.0,TA,Y,982,700,1806,1,1,1,1,Gd,0,Attchd,2,537.0,95,5,23,0,0,1,2022,WD,Normal,Feedr,711896
RL,38.76805909746942,2938,BrkSide,1Fam,1.5Fin,6,6,1937,2009,Wd Sdng,CBlock,1603.0,Gd,Y,1510,1100,1043,2,1,4,1,Gd,1,Attchd,0,0.0,32,5,15,0,0,10,2018,WD,Partial,Norm,648357
RM,80.87979228645239,12530,SawyerW,1Fam,2Story,5,9,2015,2015,BrkFace,CBlock,1164.0,Gd,Y,1115,0,1052,1,0,3,1,TA,2,Attchd,1,187.0,58,5,32,0,0,12,2020,WD,Normal,Norm,606820
RL,62.07068235906982,14361,Crawfor,1Fam,SLvl,5,6,1982,1990,CemntBd,PConc,1217.0,TA,N,1528,600,1679,2,0,3,1,TA,0,Attchd,2,441.0,231,8,13,0,1000,3,2016,Oth,Normal,Norm,496451
RL,100.7970297306049,20613,StoneBr,1Fam,1Story,3,3,1917,1970,HdBoard,Slab,720.0,TA,Y,1177,550,1523,2,0,4,1,Ex,1,Detchd,1,218.0,66,14,0,0,0,1,2022,WD,Normal,Feedr,436907
FV,57.87626104731733,8935,MeadowV,1Fam,SFoyer,1,9,1917,1966,Plywood,CBlock,700.0,Fa,Y,1355,0,1719,3,0,4,1,Gd,3,Detchd,0,0.0,186,14,7,0,2000,1,2022,WD,Normal,Feedr,492986
RL,91.02451947451853,8345,Gilbert,1Fam,2Story,6,3,1914,2021,VinylSd,BrkTil,1011.0,TA,Y,1315,0,1424,2,2,2,1,Gd,1,Attchd,1,181.0,20,55,38,750,0,11,2008,Oth,Normal,Norm,510108
RL,105.51396064731429,6062,CollgCr,1Fam,1Story,9,5,1937,1987,VinylSd,PConc,1051.0,Ex,Y,1286,900,1611,2,0,3,1,Gd,1,Detchd,2,535.0,148,17,3,0,0,3,2017,Con,Normal,Norm,619856
RL,52.981135523768586,11334,Gilbert,1Fam,1Story,1,2,1908,2018,Wd Sdng,Slab,443.0,TA,Y,1204,0,1563,1,1,3,2,Ex,1,Attchd,1,205.0,211,20,26,0,0,5,2015,WD,Normal,Norm,483816
FV,66.13573958483614,11309,Gilbert,1Fam,1Story,9,8,1932,1991,Plywood,CBlock,945.0,Ex,Y,1030,650,1811,2,0,3,1,Gd,2,Attchd,1,277.0,44,72,9,350,0,5,2023,New,AdjLand,Artery,614830
RL,77.77250548288902,7254,OldTown,2fmCon,2Story,9,9,1994,1994,Plywood,CBlock,1004.0,Ex,Y,1674,1000,1822,1,0,4,1,Ex,1,CarPort,1,220.0,48,6,3,0,0,4,2016,COD,AdjLand,Norm,749330
C (all),52.85308494891651,9800,NAmes,TwnhsE,SLvl,3,4,2008,2008,HdBoard,PConc,935.0,Gd,Y,827,1550,852,2,2,5,1,TA,1,Attchd,2,491.0,72,12,2,0,0,2,2006,WD,Normal,Norm,512392
RH,75.40589893415661,2585,NridgHt,1Fam,1.5Fin,7,4,1997,1997,CemntBd,PConc,755.0,TA,Y,1101,0,601,1,0,2,1,TA,1,Detchd,1,242.0,87,2,31,350,0,5,2009,New,Normal,Norm,467198
FV,,14205,Timber,1Fam,1Story,2,5,1961,1991,Plywood,BrkTil,838.0,Ex,Y,1104,800,1900,2,1,2,2,Fa,0,Attchd,0,0.0,52,4,29,0,0,12,2008,WD,AdjLand,Norm,445761
FV,65.0986485681327,7417,Somerst,2fmCon,1Story,8,9,1986,1986,CemntBd,PConc,946.0,Gd,Y,1220,0,1975,1,0,4,1,Ex,2,Attchd,3,704.0,14,6,12,0,0,5,2009,New,Normal,Norm,669887
RL,70.97876785416223,10361,StoneBr,1Fam,2Story,8,6,2017,2017,Plywood,CBlock,1027.0,Ex,Y,971,800,1091,2,0,3,1,Gd,3,BuiltIn,3,891.0,9,124,14,700,0,10,2007,WD,Normal,Feedr,532797
RH,71.42529431157128,4793,NAmes,1Fam,SLvl,4,1,1906,1993,BrkFace,CBlock,1181.0,TA,Y,1194,850,756,1,0,4,1,TA,1,Attchd,1,230.0,134,37,17,0,0,9,2020,WD,Partial,Norm,522968
RL,73.2776153815208,8170,CollgCr,1Fam,1.5Fin,1,7,2012,2012,MetalSd,CBlock,1324.0,TA,Y,1049,1400,1539,2,1,2,1,Ex,0,Attchd,1,256.0,16,10,26,0,0,10,2014,New,Normal,Norm,526259
RL,,9381,NWAmes,TwnhsE,1Story,10,5,1989,2001,VinylSd,PConc,911.0,Gd,Y,625,800,1872,2,0,2,1,Ex,1,Detchd,1,247.0,4,17,9,750,0,7,2018,WD,Normal,Norm,471574
RL,58.89656551300493,10454,Crawfor,1Fam,1Story,5,1,1947,1984,Plywood,BrkTil,863.0,Gd,Y,1102,1650,2219,2,1,4,1,TA,0,Detchd,2,,44,0,18,0,0,5,2023,New,Partial,Norm,489876
FV,67.62824822350339,12418,Timber,1Fam,1Story,9,5,1955,1979,BrkFace,PConc,1131.0,TA,Y,769,0,1706,3,1,5,1,Gd,1,CarPort,1,227.0,40,95,2,0,0,4,2017,WD,Normal,Norm,544826
RL,69.10484717528409,16256,BrkSide,1Fam,2Story,7,1,1954,1958,VinylSd,BrkTil,1183.0,Gd,Y,579,0,1351,1,0,2,1,Gd,0,None,3,725.0,161,87,12,0,0,4,2014,WD,Abnorml,Feedr,710698
FV,61.223013201067666,13430,Sawyer,TwnhsE,1Story,8,3,1919,1980,BrkFace,PConc,869.0,Gd,Y,1141,0,1142,2,0,4,1,Fa,1,Attchd,2,501.0,5,53,5,0,0,7,2010,COD,AdjLand,Norm,707613
C (all),,14348,OldTown,Duplex,1Story,8,7,1928,1990,CemntBd,PConc,1237.0,Gd,Y,1246,650,1504,3,0,3,1,Gd,2,Attchd,2,331.0,110,0,4,0,0,5,2019,COD,Normal,Artery,640688
RL,33.70476502649606,16284,MeadowV,1Fam,1.5Fin,2,5,1936,1992,VinylSd,PConc,1293.0,TA,Y,1258,350,1380,1,1,1,2,TA,0,Detchd,0,0.0,56,14,22,0,0,5,2015,WD,Partial,Feedr,495204
RL,55.390674821820966,12778,ClearCr,Twnhs,2Story,4,4,1900,1969,Wd Sdng,CBlock,1387.0,TA,Y,1270,0,1093,2,0,3,1,Ex,1,Attchd,3,637.0,42,46,4,0,4000,5,2019,COD,Normal,Norm,567800
RL,64.40144347594291,10353,Gilbert,1Fam,SFoyer,5,4,1962,1962,MetalSd,CBlock,1533.0,Ex,Y,520,450,2319,3,0,3,1,Gd,2,Attchd,2,408.0,62,39,10,0,0,12,2006,WD,AdjLand,Norm,567200
RL,52.8776962593879,14536,ClearCr,2fmCon,1.5Fin,5,8,1959,2019,Plywood,PConc,740.0,TA,Y,691,1750,2214,2,0,4,2,Ex,0,Attchd,2,543.0,51,3,23,0,0,8,2008,WD,Normal,Feedr,601853
RM,102.58396029617782,14792,Somerst,Duplex,1Story,1,3,1940,2020,CemntBd,PConc,1004.0,Gd,Y,1692,1450,1954,2,0,3,1,Gd,0,BuiltIn,1,190.0,12,9,7,0,1000,11,2008,COD,Normal,Norm,560519
RL,,13094,IDOTRR,TwnhsE,1Story,6,9,1921,2016,MetalSd,CBlock,1003.0,Fa,Y,785,0,1131,2,1,3,1,TA,0,CarPort,2,328.0,16,1,3,0,2000,12,2018,COD,Abnorml,Norm,659412
RL,,4681,SawyerW,1Fam,2Story,2,4,2020,2020,Wd Sdng,PConc,970.0,Gd,Y,1283,1650,1842,2,0,3,1,TA,1,Attchd,2,503.0,97,189,1,0,0,8,2015,WD,AdjLand,Norm,588555
RL,60.33538584069078,7134,NWAmes,1Fam,2Story,8,4,1984,1994,VinylSd,PConc,805.0,Gd,Y,893,400,1755,2,0,4,1,Gd,1,Attchd,3,489.0,7,65,30,0,0,2,2011,WD,Abnorml,Norm,501359
RL,69.68442159254079,9400,Timber,1Fam,2Story,7,6,1958,1960,VinylSd,CBlock,554.0,Ex,Y,1123,750,1677,3,0,4,2,TA,0,None,2,285.0,35,107,22,0,0,12,2011,WD,Abnorml,Norm,496631
RL,45.694930713945325,13618,StoneBr,1Fam,SLvl,10,7,1989,2017,CemntBd,PConc,1027.0,Gd,Y,910,600,1999,1,1,3,1,Gd,0,Attchd,2,512.0,26,3,13,0,0,6,2016,WD,Family,Norm,500449
RL,66.60365927809853,10414,ClearCr,TwnhsE,1.5Fin,8,5,1946,1950,MetalSd,PConc,769.0,Gd,Y,1268,750,1754,2,1,3,1,TA,1,Attchd,2,452.0,13,83,1,0,0,5,2023,New,Normal,Norm,699381
FV,51.25983142808488,15047,ClearCr,1Fam,2Story,4,6,1926,1984,BrkFace,PConc,1025.0,TA,Y,1141,1350,1796,2,0,5,1,TA,0,Attchd,2,477.0,87,36,3,0,0,5,2023,WD,Partial,Norm,674870
RL,64.45192830487674,15760,NoRidge,1Fam,1Story,10,4,1983,2013,Plywood,CBlock,761.0,TA,Y,965,1250,1754,1,0,2,1,Gd,1,Attchd,3,606.0,66,127,1,0,0,2,2014,WD,Normal,PosN,556071
RL,20.0,15296,Crawfor,1Fam,1Story,5,7,1995,2003,MetalSd,CBlock,670.0,Gd,Y,784,1050,1636,2,1,4,2,Gd,0,Attchd,2,329.0,154,14,0,0,0,8,2018,WD,Normal,Norm,514274
RL,47.43993583112949,15322,IDOTRR,1Fam,2Story,4,8,1980,2013,BrkFace,PConc,1070.0,TA,Y,1180,1100,786,2,0,3,1,Gd,1,Attchd,1,172.0,111,76,27,500,0,1,2007,WD,Normal,Norm,542160
RM,99.27852809028667,6352,MeadowV,1Fam,1Story,10,8,1970,1986,VinylSd,CBlock,1045.0,TA,Y,736,1300,1533,2,1,4,1,Gd,1,Attchd,0,0.0,29,56,3,550,0,9,2023,Con,AdjLand,PosN,642002
FV,86.60795498215084,12430,BrkSide,1Fam,1.5Fin,4,6,1900,1957,CemntBd,PConc,1173.0,Fa,Y,1228,350,1277,2,0,3,1,Gd,2,BuiltIn,2,338.0,55,85,1,0,0,11,2006,WD,Normal,Feedr,623400
RL,96.38078671830462,8069,NoRidge,1Fam,2Story,1,3,1979,1979,VinylSd,PConc,1655.0,Gd,Y,1887,700,988,2,0,3,1,Gd,0,Attchd,3,696.0,28,46,29,400,0,6,2012,Con,Normal,Norm,443896
RL,,3903,Somerst,1Fam,1Story,5,6,1976,1976,BrkFace,PConc,1083.0,Ex,Y,1505,0,2172,3,0,3,1,Gd,1,BuiltIn,1,201.0,49,40,5,0,0,5,2019,WD,Normal,Norm,689130
RM,83.45974848328954,9350,Crawfor,1Fam,1.5Fin,8,6,1951,1954,Wd Sdng,PConc,1145.0,Fa,Y,1315,1250,2191,2,0,1,1,Gd,1,Detchd,2,454.0,6,38,38,0,0,9,2023,WD,Normal,Norm,564251
RH,60.9426262924173,15798,NoRidge,TwnhsE,2Story,2,3,1930,1983,Wd Sdng,CBlock,676.0,Gd,Y,1074,800,2043,2,1,2,1,Gd,1,Attchd,3,,155,24,19,600,0,11,2009,New,Normal,Norm,528612
RM,49.25498107468755,12342,NoRidge,1Fam,1Story,5,8,2021,2021,Plywood,PConc,613.0,Gd,Y,518,1150,1602,1,0,5,2,Gd,0,None,2,470.0,141,56,5,0,0,2,2017,WD,Normal,Feedr,553661
RM,92.93489210899394,18571,NAmes,1Fam,2Story,2,7,1946,1963,CemntBd,Slab,1474.0,Gd,Y,703,1000,2040,2,0,3,2,TA,0,Attchd,1,239.0,16,13,0,0,0,6,2009,WD,Partial,Norm,553885
RL,71.29135948774781,11208,NridgHt,TwnhsE,2Story,7,4,1933,1981,HdBoard,Slab,722.0,Ex,Y,1484,500,1504,3,0,1,1,Gd,1,Attchd,2,412.0,32,57,3,0,0,4,2006,WD,Partial,Norm,589461
RL,,20291,NWAmes,1Fam,2Story,5,1,1987,2004,VinylSd,PConc,686.0,Ex,Y,863,0,1581,1,0,3,1,TA,1,Detchd,2,454.0,32,15,6,600,0,1,2013,WD,Normal,Artery,422200
RH,62.698040479784915,11210,NridgHt,1Fam,1Story,4,7,1959,1999,BrkFace,CBlock,988.0,Gd,Y,890,1750,1062,2,1,3,1,Ex,2,Attchd,1,229.0,8,117,4,600,0,1,2016,COD,Normal,Norm,438296
RL,109.4579170956096,10589,IDOTRR,1Fam,2Story,3,2,1969,1969,Wd Sdng,CBlock,972.0,Gd,Y,1050,550,1658,2,1,3,1,Gd,1,Attchd,2,245.0,37,87,1,400,0,7,2010,WD,Partial,Norm,568819
RL,66.86416418608489,5382,Veenker,1Fam,2Story,6,7,1980,2016,MetalSd,PConc,729.0,Gd,Y,781,0,1524,2,2,2,1,Gd,1,CarPort,2,491.0,71,8,5,650,0,10,2023,WD,Normal,Norm,497135
RM,96.720971945174,14942,Somerst,1Fam,1Story,7,4,1945,1990,BrkFace,PConc,908.0,Gd,Y,731,550,978,2,0,4,1,Gd,3,BuiltIn,2,451.0,4,34,4,0,0,8,2017,WD,Normal,Norm,517897
RH,,8491,Mitchel,TwnhsE,1Story,10,7,1918,1975,VinylSd,Slab,1368.0,Ex,Y,1084,1600,1479,2,0,4,1,Gd,1,Attchd,2,485.0,127,6,5,0,0,3,2013,WD,Normal,Norm,688812
RL,49.541001436385756,7911,CollgCr,1Fam,2Story,5,9,1920,1978,CemntBd,PConc,758.0,Ex,Y,832,500,1468,3,0,3,1,TA,0,Attchd,0,0.0,170,34,14,0,0,6,2014,WD,Normal,Norm,468888
RH,60.300038434182625,15624,Crawfor,1Fam,1Story,2,1,2016,2016,VinylSd,CBlock,581.0,Gd,Y,877,1750,2219,2,1,4,1,Gd,0,Detchd,1,207.0,171,4,41,0,0,12,2014,WD,Normal,Norm,492261
RL,,15132,Edwards,Duplex,SFoyer,9,1,1962,1984,Plywood,CBlock,1282.0,Ex,Y,865,850,1857,2,0,3,1,Ex,1,Attchd,1,176.0,98,5,8,0,0,11,2008,COD,Normal,Norm,680687
RH,45.40111023483553,15028,Gilbert,1Fam,1Story,7,7,1951,1968,VinylSd,PConc,1147.0,TA,Y,1256,1550,1504,2,0,3,1,Fa,0,Attchd,1,249.0,28,101,1,700,0,2,2016,WD,Partial,Norm,618684
RH,,9051,NoRidge,1Fam,2Story,8,5,1939,1981,HdBoard,CBlock,813.0,Gd,Y,1030,1150,1599,2,1,5,1,TA,2,Detchd,2,327.0,13,12,24,0,0,8,2020,WD,Normal,Norm,606814
FV,,10296,Edwards,2fmCon,SFoyer,1,7,1989,1989,MetalSd,BrkTil,525.0,Gd,Y,1046,0,1517,1,0,4,1,Gd,0,Attchd,1,182.0,41,14,14,0,0,8,2013,WD,Normal,Norm,445394
RH,71.04732646380272,10260,Somerst,1Fam,1Story,4,2,2013,2013,HdBoard,PConc,776.0,Gd,Y,1279,900,1418,2,0,3,1,Gd,0,Attchd,2,482.0,81,57,2,0,0,5,2013,WD,Normal,Norm,602198
C (all),,13630,Crawfor,1Fam,2Story,8,8,1995,1995,VinylSd,PConc,983.0,TA,Y,1057,750,1067,2,0,3,1,Gd,1,Detchd,1,194.0,2,4,15,0,0,5,2022,WD,Abnorml,Norm,570610
RH,32.852263325701706,16714,Mitchel,1Fam,1Story,9,3,1966,1966,Plywood,PConc,1349.0,Ex,Y,1016,400,1439,2,1,3,1,Gd,1,Detchd,1,182.0,273,30,18,0,0,9,2016,WD,Normal,Artery,649500
RL,95.7353200791411,11972,StoneBr,Duplex,2Story,5,2,1958,1975,CemntBd,CBlock,689.0,TA,Y,1241,1000,1201,2,1,3,1,Gd,2,Attchd,1,256.0,159,28,2,0,0,12,2011,WD,Normal,Norm,407824
RL,63.01811673320165,18399,NWAmes,TwnhsE,SFoyer,9,4,2007,2007,MetalSd,CBlock,974.0,Ex,Y,1300,0,999,2,0,4,1,TA,0,None,2,515.0,121,2,6,0,4000,4,2006,WD,Abnorml,Norm,459830
RL,80.64802612475715,14088,MeadowV,Duplex,SFoyer,9,8,2006,2006,Plywood,CBlock,1202.0,Gd,Y,1055,1250,1704,2,1,2,1,Gd,0,Detchd,2,497.0,146,56,10,0,0,12,2020,Con,Normal,Norm,641963
RL,82.41425678457094,9560,Sawyer,1Fam,2Story,4,1,1948,1958,MetalSd,CBlock,285.0,Gd,Y,1124,1450,1656,1,0,4,1,Ex,1,Detchd,2,507.0,31,66,6,0,0,11,2017,WD,Normal,Norm,585925
RM,97.41593121527681,13814,BrkSide,1Fam,1.5Fin,9,5,2019,2019,HdBoard,Slab,1310.0,Gd,Y,865,0,785,2,0,4,1,TA,2,Attchd,1,210.0,47,23,1,0,0,1,2017,WD,Normal,Norm,763971
RL,67.90285224433933,17323,Timber,1Fam,1.5Fin,3,8,2002,2022,CemntBd,PConc,645.0,TA,Y,841,850,1450,2,1,2,1,Gd,0,Detchd,2,423.0,3,50,32,0,0,4,2011,WD,Normal,Norm,499734
RH,27.527250819141386,18493,ClearCr,2fmCon,1Story,3,5,2004,2004,Wd Sdng,BrkTil,1099.0,TA,Y,1330,1150,1898,1,1,4,1,Fa,1,Detchd,2,388.0,67,87,2,0,0,6,2009,COD,Normal,Norm,631488
RL,71.14255226907122,15247,IDOTRR,1Fam,1.5Fin,7,1,1907,1970,VinylSd,PConc,1074.0,Gd,Y,1233,0,1923,2,1,4,1,TA,0,Detchd,2,453.0,9,55,1,0,500,8,2014,WD,Partial,PosN,684019
RL,74.01413716323202,10602,Timber,1Fam,1Story,7,2,1916,1987,Plywood,PConc,,Ex,Y,1236,700,1910,2,1,3,1,Gd,1,Detchd,1,198.0,0,49,12,0,0,3,2019,WD,Normal,Feedr,545530
RL,49.31478281719765,9633,Crawfor,1Fam,SFoyer,2,6,1936,1972,MetalSd,PConc,1165.0,TA,Y,1184,500,1515,2,0,3,1,TA,0,Attchd,1,202.0,11,12,52,0,0,5,2011,WD,Normal,Norm,467462
RL,72.94981308865877,12804,StoneBr,1Fam,SLvl,9,6,1994,1994,VinylSd,PConc,286.0,Gd,Y,1113,0,1161,2,0,4,1,Gd,3,Attchd,1,243.0,47,29,20,0,0,2,2015,WD,Partial,Norm,536537
RL,62.77963130547416,17195,NoRidge,1Fam,2Story,2,2,1909,1959,HdBoard,BrkTil,764.0,Gd,Y,1308,1450,1066,1,0,5,1,Gd,0,BuiltIn,3,802.0,61,24,8,0,2000,2,2023,WD,Normal,Norm,482620
RL,43.14492101434979,12235,NoRidge,TwnhsE,1Story,9,4,1910,1981,MetalSd,CBlock,1041.0,Gd,Y,1380,800,1637,2,0,3,1,Ex,1,Attchd,2,471.0,62,8,8,0,0,6,2009,New,Family,Norm,624923
RL,83.42969790018567,12318,Timber,1Fam,SLvl,1,1,1903,2005,VinylSd,CBlock,941.0,Gd,Y,1373,1350,1651,2,0,4,1,Ex,1,Detchd,2,583.0,104,28,14,0,0,8,2010,WD,Normal,Norm,435660
FV,58.72549698204408,10705,Sawyer,1Fam,1Story,8,6,1923,1993,CemntBd,PConc,1143.0,TA,N,1069,1050,2014,2,0,4,1,TA,0,BuiltIn,2,383.0,24,21,29,0,0,6,2010,COD,Normal,PosN,670779
RL,61.87241570525862,9188,Mitchel,1Fam,2Story,8,5,2013,2018,HdBoard,PConc,1236.0,Gd,Y,1516,1550,1939,1,0,5,1,Fa,0,Attchd,2,292.0,26,26,48,0,0,5,2022,COD,Normal,Norm,695097
RM,60.74842305425831,9851,CollgCr,1Fam,2Story,8,6,1989,2001,HdBoard,Slab,1182.0,TA,Y,1168,1750,1447,3,1,2,1,Ex,1,None,2,497.0,182,9,1,0,0,6,2015,New,AdjLand,Feedr,523881
RM,,11041,Mitchel,1Fam,1Story,7,4,1988,2008,HdBoard,BrkTil,935.0,TA,Y,1289,1100,1002,1,0,3,1,TA,1,BuiltIn,1,189.0,103,83,2,0,0,8,2022,WD,Partial,Norm,665160
RL,69.18167676453216,17372,Timber,1Fam,1Story,5,9,1936,1981,CemntBd,CBlock,446.0,Gd,Y,1184,650,1372,1,0,4,1,TA,1,Detchd,2,418.0,123,92,8,0,0,9,2023,WD,Normal,Feedr,520874
RL,71.58199641091643,9541,CollgCr,1Fam,1Story,8,1,1977,1995,Wd Sdng,PConc,863.0,Ex,Y,1174,750,1586,2,1,1,1,TA,1,Detchd,1,149.0,507,72,12,0,0,7,2013,New,Partial,Norm,551323
